id;code;marke;model;mann;frau;tag;abend;fruehlingsommer;herbstwinter;orientalisch;holzig;fruchtig;frisch;wuerzig;suess;blumig;aquatisch;zitrus;freizeit;Sport;Arbeit;Ausgehen;jung;alt#
27;28;Tommy Hilfiger;HILFIGER;1;%;1;%;1;%;%;1;%;1;%;%;%;%;1;%;%;%;%;%;%#
28;29;Carolina Herrera;212 MEN;1;%;1;%;1;%;%;1;1;1;%;%;%;%;1;%;%;%;%;%;%#
29;30;Jean Paul Gaultier;LE MALE;1;%;%;1;1;1;1;%;%;%;1;1;%;%;%;%;%;%;%;%;%#
30;31;Jil Sunder;SUN MEN;1;%;1;%;1;%;%;%;1;1;1;1;%;%;%;%;%;%;%;%;%#
31;32;Joop;NIGHTFLIGHT;1;%;1;1;1;%;%;%;%;1;%;%;%;1;1;%;%;%;%;%;%#
32;33;Givenchy;PI;1;%;%;1;%;1;1;%;%;%;1;1;%;%;%;%;%;%;%;%;%#
33;34;Laura Biagiotti;ROMA;1;%;%;1;%;1;1;1;1;%;1;1;%;%;%;%;%;%;%;%;%#
34;35;Donna Karan;DKNY MEN;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
35;36;Jil Sunder;MAN ABSOLUTE;1;%;%;1;%;1;1;1;%;%;%;1;%;%;%;%;%;%;%;%;%#
36;37;Giorgio Armani;ATTITUDE;1;%;1;1;%;1;1;1;%;%;1;1;%;%;%;%;%;%;%;%;%#
37;38;Carolina Herrera;SEXY MEN;1;%;%;1;%;1;1;1;%;%;1;1;%;%;%;%;%;%;%;%;%#
38;39;Burberry;LONDON;1;%;1;1;%;1;1;1;%;%;1;1;%;%;%;%;%;%;%;%;%#
39;40;Diesel;FUEL FOR LIFE;1;%;1;1;1;1;%;1;1;%;%;1;%;%;%;%;%;%;%;%;%#
40;41;Lacoste;LACOSTE;1;%;1;%;1;%;%;%;%;1;1;%;%;%;1;%;%;%;%;%;%#
41;42;Lacoste;ESSIENTIAL;1;%;1;%;1;%;%;1;%;1;%;%;%;%;1;%;%;%;%;%;%#
42;43;Gucci;RUSH;1;%;1;1;1;1;%;1;%;1;1;%;%;%;%;%;%;%;%;%;%#
43;44;Chanel;ALLURE HOMME SPORT;1;%;1;%;1;%;%;%;%;1;%;%;%;1;1;%;%;%;%;%;%#
